SimulationStartAt = 2/9/2021 11:59:30 AM
EachLineIsComposedOF:
IndexCounter, PulseCounter, Direction, StopByIndex, StopByBlackBox
2, 2497, v, 1, 0
3, 2467, v, 1, 0
4, 2491, v, 1, 0
5, 2493, v, 1, 0
6, 2492, v, 1, 0
7, 2493, v, 1, 0
8, 2494, v, 1, 0
9, 2493, v, 1, 0
10, 2494, v, 1, 0
11, 2494, v, 1, 0
12, 2491, v, 1, 0
13, 2494, v, 1, 0
14, 2495, v, 1, 0
15, 2496, v, 1, 0
16, 2495, v, 1, 0
17, 2490, v, 1, 0
18, 2495, v, 1, 0
19, 2498, v, 1, 0
20, 2494, v, 1, 0
21, 2490, v, 1, 0
22, 2492, v, 1, 0
23, 2494, v, 1, 0
24, 2494, v, 1, 0
25, 2491, v, 1, 0
26, 2494, v, 1, 0
27, 2493, v, 1, 0
28, 2494, v, 1, 0
29, 2495, v, 1, 0
30, 2495, v, 1, 0
31, 2492, v, 1, 0
32, 2486, v, 1, 0
33, 2492, v, 1, 0
34, 2497, v, 1, 0
35, 2491, v, 1, 0
36, 2493, v, 1, 0
37, 2495, v, 1, 0
38, 2494, v, 1, 0
39, 2492, v, 1, 0
40, 2494, v, 1, 0
41, 2494, v, 1, 0
42, 2493, v, 1, 0
43, 2494, v, 1, 0
44, 2496, v, 1, 0
45, 2493, v, 1, 0
46, 2495, v, 1, 0
47, 2492, v, 1, 0
48, 2495, v, 1, 0
49, 2498, v, 1, 0
50, 2494, v, 1, 0
51, 2495, v, 1, 0
52, 2493, v, 1, 0
53, 2306, v, 1, 0
54, 2493, v, 1, 0
55, 2493, v, 1, 0
56, 2494, v, 1, 0
57, 2494, v, 1, 0
58, 2492, v, 1, 0
59, 994, v, 0, 1
59, 1478, v, 1, 0
2, 2494, v, 1, 0
3, 2493, v, 1, 0
4, 2495, v, 1, 0
5, 2494, v, 1, 0
6, 2491, v, 1, 0
7, 2493, v, 1, 0
8, 2493, v, 1, 0
9, 2494, v, 1, 0
10, 2494, v, 1, 0
11, 2493, v, 1, 0
12, 2494, v, 1, 0
13, 2493, v, 1, 0
14, 2493, v, 1, 0
15, 2495, v, 1, 0
16, 2495, v, 1, 0
17, 2492, v, 1, 0
18, 2494, v, 1, 0
19, 2494, v, 1, 0
20, 2494, v, 1, 0
21, 2494, v, 1, 0
22, 2492, v, 1, 0
23, 2492, v, 1, 0
24, 2494, v, 1, 0
25, 2492, v, 1, 0
26, 2497, v, 1, 0
27, 2493, v, 1, 0
28, 2493, v, 1, 0
29, 2491, v, 1, 0
30, 2495, v, 1, 0
31, 2495, v, 1, 0
32, 2496, v, 1, 0
33, 2494, v, 1, 0
34, 2493, v, 1, 0
35, 2495, v, 1, 0
36, 2493, v, 1, 0
37, 2491, v, 1, 0
38, 2495, v, 1, 0
39, 2493, v, 1, 0
40, 2493, v, 1, 0
41, 2496, v, 1, 0
42, 2492, v, 1, 0
43, 2494, v, 1, 0
44, 2494, v, 1, 0
45, 2493, v, 1, 0
46, 2500, v, 1, 0
47, 2492, v, 1, 0
48, 2495, v, 1, 0
49, 2493, v, 1, 0
50, 2494, v, 1, 0
51, 2483, v, 1, 0
52, 2500, v, 1, 0
53, 2500, v, 1, 0
54, 2500, v, 1, 0
55, 2500, v, 1, 0
56, 2500, v, 1, 0
57, 2500, v, 1, 0
58, 2500, v, 1, 0
59, 2498, v, 1, 0
60, 2498, v, 1, 0
61, 2499, v, 1, 0
62, 2500, v, 1, 0
63, 2500, v, 1, 0
64, 2500, v, 1, 0
65, 2500, v, 1, 0
66, 2499, v, 1, 0
67, 2499, v, 1, 0
68, 2499, v, 1, 0
69, 2500, v, 1, 0
70, 2500, v, 1, 0
71, 2499, v, 1, 0
72, 2500, v, 1, 0
73, 2499, v, 1, 0
74, 2500, v, 1, 0
