SimulationStartAt = 2/9/2021 3:09:23 PM
EachLineIsComposedOF:
IndexCounter, PulseCounter, Direction, StopByIndex, StopByBlackBox
1, 0, 1, 2500, v
1, 0, 2, 2469, v
1, 0, 3, 2499, v
1, 0, 4, 2495, v
1, 0, 5, 2499, v
1, 0, 6, 2497, v
1, 0, 7, 2500, v
1, 0, 8, 2500, v
1, 0, 9, 2499, v
1, 0, 10, 2497, v
1, 0, 11, 2500, v
1, 0, 12, 2500, v
1, 0, 13, 2499, v
1, 0, 14, 2500, v
1, 0, 15, 2500, v
1, 0, 16, 2499, v
1, 0, 17, 2499, v
1, 0, 18, 2499, v
1, 0, 19, 2497, v
1, 0, 20, 2498, v
1, 0, 21, 2500, v
1, 0, 22, 2500, v
1, 0, 23, 2500, v
1, 0, 24, 2500, v
1, 0, 25, 2500, v
1, 0, 26, 2499, v
0, 1, 27, 1162, v
1, 0, 27, 1319, v
1, 0, 1, 2500, ^
1, 0, 2, 2397, ^
1, 0, 3, 2498, ^
1, 0, 4, 2498, ^
1, 0, 5, 2500, ^
1, 0, 6, 2496, ^
1, 0, 7, 2499, ^
1, 0, 8, 2499, ^
1, 0, 9, 2498, ^
1, 0, 10, 2500, ^
1, 0, 11, 2500, ^
1, 0, 12, 2500, ^
1, 0, 13, 2498, ^
1, 0, 14, 2500, ^
0, 1, 15, 73, ^
1, 0, 15, 2425, ^
1, 0, 1, 2500, v
1, 0, 2, 2499, v
1, 0, 3, 2499, v
1, 0, 4, 2500, v
1, 0, 5, 2500, v
1, 0, 6, 2499, v
1, 0, 7, 2500, v
1, 0, 8, 2500, v
1, 0, 9, 2500, v
1, 0, 10, 2499, v
1, 0, 11, 2500, v
1, 0, 12, 2499, v
1, 0, 13, 2500, v
1, 0, 14, 2500, v
1, 0, 15, 2500, v
1, 0, 16, 2499, v
1, 0, 17, 2500, v
1, 0, 18, 2500, v
1, 0, 19, 2500, v
1, 0, 20, 2500, v
1, 0, 21, 2499, v
1, 0, 22, 2500, v
1, 0, 23, 2499, v
1, 0, 24, 2500, v
1, 0, 25, 2500, v
1, 0, 26, 2500, v
1, 0, 27, 2500, v
1, 0, 28, 2500, v
1, 0, 29, 2499, v
1, 0, 30, 2500, v
1, 0, 31, 2500, v
1, 0, 32, 2500, v
1, 0, 33, 2500, v
1, 0, 34, 2499, v
1, 0, 35, 2499, v
1, 0, 36, 2499, v
1, 0, 37, 2500, v
1, 0, 38, 2500, v
1, 0, 39, 2500, v
1, 0, 40, 2500, v
1, 0, 41, 2500, v
1, 0, 42, 2500, v
1, 0, 43, 2500, v
1, 0, 44, 2500, v
1, 0, 45, 2500, v
1, 0, 46, 2500, v
1, 0, 47, 2500, v
1, 0, 48, 2499, v
1, 0, 49, 2500, v
1, 0, 50, 2500, v
1, 0, 51, 2500, v
1, 0, 52, 2500, v
1, 0, 53, 2500, v
1, 0, 54, 2500, v
1, 0, 55, 2498, v
1, 0, 56, 2499, v
1, 0, 57, 2500, v
1, 0, 58, 2500, v
1, 0, 59, 2500, v
1, 0, 60, 2500, v
1, 0, 61, 2499, v
1, 0, 62, 2499, v
1, 0, 63, 2500, v
1, 0, 64, 2500, v
1, 0, 65, 2500, v
1, 0, 66, 2500, v
1, 0, 67, 2500, v
1, 0, 68, 2498, v
1, 0, 69, 2500, v
1, 0, 70, 2500, v
1, 0, 71, 2501, v
1, 0, 72, 2500, v
1, 0, 73, 2500, v
1, 0, 74, 2499, v
1, 0, 75, 2499, v
1, 0, 76, 2500, v
1, 0, 77, 2500, v
1, 0, 78, 2499, v
1, 0, 79, 2500, v
0, 1, 80, 1159, v
1, 0, 80, 1340, v
1, 0, 1, 2499, v
1, 0, 2, 2499, v
1, 0, 3, 2500, v
1, 0, 4, 2500, v
1, 0, 5, 2500, v
1, 0, 6, 2500, v
1, 0, 7, 2500, v
1, 0, 8, 2499, v
1, 0, 9, 2500, v
1, 0, 10, 2500, v
1, 0, 11, 2500, v
1, 0, 12, 2499, v
1, 0, 13, 2500, v
1, 0, 14, 2499, v
0, 1, 15, 1088, v
1, 0, 15, 1411, v
1, 0, 1, 2500, ^
1, 0, 2, 2499, ^
1, 0, 3, 2500, ^
1, 0, 4, 2500, ^
1, 0, 5, 2500, ^
1, 0, 6, 2498, ^
1, 0, 7, 2500, ^
1, 0, 8, 2500, ^
1, 0, 9, 2500, ^
1, 0, 10, 2500, ^
1, 0, 11, 2500, ^
1, 0, 12, 2499, ^
1, 0, 13, 2500, ^
1, 0, 14, 2500, ^
1, 0, 15, 2500, ^
1, 0, 16, 2500, ^
0, 1, 17, 26, ^
1, 0, 17, 2473, ^
SimulationTestEndedAt = 20210209_150958
